ID                  ,Part                ,SubID               ,Position            ,IsViewPoint         ,GimbalAngles        
1                   ,Take-Off            ,1                   ,[ 4.46356819 51.61305495  0.61100873],False               ,None                
2                   ,Take-Off            ,2                   ,[ 4.46356819 51.61305495  1.61100873],False               ,None                
3                   ,Tower               ,1                   ,[ 4.46357658 51.61306133  4.08238666],True                ,[ 1.57079633  0.         -1.36942024]
4                   ,Tower               ,2                   ,[ 4.46357658 51.61306133 11.0251454 ],True                ,[ 1.57079633  0.         -1.36942024]
5                   ,Tower               ,3                   ,[ 4.46357658 51.61306133 17.96790415],True                ,[ 1.57079633  0.         -1.36942024]
6                   ,Tower               ,4                   ,[ 4.46357658 51.61306133 24.9106629 ],True                ,[ 1.57079633  0.         -1.36942024]
7                   ,Tower               ,5                   ,[ 4.46357658 51.61306133 31.85342165],True                ,[ 1.57079633  0.         -1.36942024]
8                   ,Tower               ,6                   ,[ 4.46357658 51.61306133 38.79618039],True                ,[ 1.57079633  0.         -1.36942024]
9                   ,Tower               ,7                   ,[ 4.46357658 51.61306133 45.73893914],True                ,[ 1.57079633  0.         -1.36942024]
10                  ,Tower               ,8                   ,[ 4.46357658 51.61306133 52.68169789],True                ,[ 1.57079633  0.         -1.36942024]
11                  ,Tower               ,9                   ,[ 4.46357658 51.61306133 59.62445664],True                ,[ 1.57079633  0.         -1.36942024]
12                  ,Tower               ,10                  ,[ 4.46357658 51.61306133 66.56721538],True                ,[ 1.57079633  0.         -1.36942024]
13                  ,Tower               ,11                  ,[ 4.46357658 51.61306133 73.50997413],True                ,[ 1.57079633  0.         -1.36942024]
14                  ,Tower               ,12                  ,[ 4.46357658 51.61306133 80.45273288],True                ,[ 1.57079633  0.         -1.36942024]
15                  ,Tower               ,13                  ,[ 4.46377309 51.61307366 80.45273288],True                ,[1.57079633 0.         0.20137609]
16                  ,Tower               ,14                  ,[ 4.46377309 51.61307366 73.50997413],True                ,[1.57079633 0.         0.20137609]
17                  ,Tower               ,15                  ,[ 4.46377309 51.61307366 66.56721538],True                ,[1.57079633 0.         0.20137609]
18                  ,Tower               ,16                  ,[ 4.46377309 51.61307366 59.62445663],True                ,[1.57079633 0.         0.20137609]
19                  ,Tower               ,17                  ,[ 4.46377309 51.61307366 52.68169789],True                ,[1.57079633 0.         0.20137609]
20                  ,Tower               ,18                  ,[ 4.46377309 51.61307366 45.73893914],True                ,[1.57079633 0.         0.20137609]
21                  ,Tower               ,19                  ,[ 4.46377309 51.61307366 38.79618039],True                ,[1.57079633 0.         0.20137609]
22                  ,Tower               ,20                  ,[ 4.46377309 51.61307366 31.85342165],True                ,[1.57079633 0.         0.20137609]
23                  ,Tower               ,21                  ,[ 4.46377309 51.61307366 24.9106629 ],True                ,[1.57079633 0.         0.20137609]
24                  ,Tower               ,22                  ,[ 4.46377309 51.61307366 17.96790415],True                ,[1.57079633 0.         0.20137609]
25                  ,Tower               ,23                  ,[ 4.46377309 51.61307366 11.0251454 ],True                ,[1.57079633 0.         0.20137609]
26                  ,Tower               ,24                  ,[ 4.46377309 51.61307366  4.08238666],True                ,[1.57079633 0.         0.20137609]
27                  ,Tower               ,25                  ,[ 4.46375324 51.61319569  4.08238666],True                ,[1.57079633 0.         1.77217242]
