ID                  ,Part                ,SubID               ,Position            ,IsViewPoint         ,GimbalAngles        ,DroneAngles         ,ActionID            ,ActionParameter     
0,Tower,1,[ 4.45991167 51.61293282  3.60354128],True,[0. 0. 0.],[-5.008956e-06  1.800000e+02  1.292314e+02],Take_photo_interval,5.207070000469685
1,Tower,15,[ 4.45990205 51.61292099 75.46512963],True,[0. 0. 0.],[-5.008956e-06  1.800000e+02  1.292314e+02],None,None
2,None,0,[ 4.45993724 51.61291963 75.10963773],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  1.171948e+02],None,None
3,Tower,16,[ 4.46010818 51.61294515 76.50250728],True,[0. 0. 0.],[-5.008957e-06  1.800000e+02  3.923135e+01],Take_photo_interval,5.207070000469685
4,Tower,30,[ 4.46010818 51.61294515  3.60354128],True,[0. 0. 0.],[-5.008957e-06  1.800000e+02  3.923135e+01],None,None
5,None,0,[ 4.46010313 51.61299379  3.60687801],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  9.953734e+00],None,None
6,Tower,31,[ 4.46008833 51.61306718  3.60354128],True,[0. 0. 0.],[-5.008956e-06  1.800000e+02  3.092314e+02],Take_photo_interval,5.207069999538362
7,Tower,45,[ 4.46009842 51.61307348 76.34282884],True,[0. 0. 0.],[-5.008956e-06  1.800000e+02  3.092314e+02],None,None
8,None,0,[ 4.46007243 51.61308352 76.06621871],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  2.971948e+02],None,None
9,None,0,[ 4.46003463 51.61308475 75.9827374 ],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  2.843639e+02],None,None
10,Tower,46,[ 4.45989182 51.61305485 76.50250728],True,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.192313e+02],Take_photo_interval,5.207070000469685
11,Tower,60,[ 4.45989182 51.61305485  3.60354128],True,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.192313e+02],None,None
12,None,0,[ 4.45987394 51.6129863  37.69655612],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  1.792245e+02],None,None
13,None,0,[ 4.45986305 51.61299152 39.23145707],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  1.767291e+02],None,None
14,None,0,[ 4.45985426 51.61299349 41.20477797],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  1.742313e+02],None,None
15,None,0,[ 4.45985086 51.61299074 43.30062839],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  1.717336e+02],None,None
16,None,0,[ 4.45984723 51.61298754 45.41980887],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  1.692382e+02],None,None
17,None,0,[ 4.45984347 51.61298387 47.5366794 ],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  1.667475e+02],None,None
18,None,0,[ 4.45984219 51.61297882 49.64489973],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  1.642639e+02],None,None
19,None,0,[ 4.45984094 51.61297347 51.75470013],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  1.617896e+02],None,None
20,None,0,[ 4.4598398  51.61296782 53.86549058],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  1.593269e+02],None,None
21,Hub,1,[ 4.45986307 51.61289586 78.9710175 ],True,[0. 0. 0.],[-5.008956e-06  1.800000e+02  1.292314e+02],Take_photo,None
22,Hub,2,[ 4.46005383 51.61292965 74.10605587],True,[30.  0.  0.],[-5.008957e-06  1.800000e+02  3.923135e+01],None,None
23,None,0,[ 4.45997943 51.61292745 73.30090525],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  9.150801e+01],None,None
24,None,0,[ 4.45994066 51.61292075 72.9346774 ],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  1.219547e+02],None,None
